fips,CountyName,pct_change_2020,Date,HomeValue
48001,Anderson County,2.0044774447358895,1996-01-31,
48003,Andrews County,4.056306398507541,1996-01-31,
48005,Angelina County,1.190256249633215,1996-01-31,54334.75
48007,Aransas County,3.4176414382737628,1996-01-31,
48009,Archer County,3.799757140474223,1996-01-31,
48011,Armstrong County,0.5830913222991434,1996-01-31,
48013,Atascosa County,2.80826921697829,1996-01-31,84676.5
48015,Austin County,3.089275814096621,1996-01-31,112467.0
48017,Bailey County,3.874352088927746,1996-01-31,
48019,Bandera County,9.27738290933263,1996-01-31,
48021,Bastrop County,6.159696100704795,1996-01-31,94502.33333333333
48023,Baylor County,0.16926517174979813,1996-01-31,
48025,Bee County,3.145835989740983,1996-01-31,
48027,Bell County,9.698456710161478,1996-01-31,
48029,Bexar County,6.6151753403745355,1996-01-31,110600.625
48031,Blanco County,4.328921427323306,1996-01-31,
48035,Bosque County,5.003113895538403,1996-01-31,
48037,Bowie County,1.8254866003376111,1996-01-31,
48039,Brazoria County,4.631306308057931,1996-01-31,90887.71428571429
48041,Brazos County,7.517857041810344,1996-01-31,
48043,Brewster County,1.6901585967994717,1996-01-31,
48047,Brooks County,2.3700503031084743,1996-01-31,
48049,Brown County,2.4332951355030814,1996-01-31,
48051,Burleson County,2.8004726016623787,1996-01-31,
48053,Burnet County,4.012387141556491,1996-01-31,124330.0
48055,Caldwell County,2.714932915663898,1996-01-31,71729.0
48057,Calhoun County,3.013532085088891,1996-01-31,
48059,Callahan County,0.8766655927417312,1996-01-31,
48061,Cameron County,9.512558160737091,1996-01-31,
48063,Camp County,1.746122463665552,1996-01-31,
48065,Carson County,2.993583165858002,1996-01-31,
48067,Cass County,0.4826554227736932,1996-01-31,
48069,Castro County,3.377162196388646,1996-01-31,
48071,Chambers County,3.4129906479185386,1996-01-31,
48073,Cherokee County,2.136110933945576,1996-01-31,
48075,Childress County,-2.428803641160481,1996-01-31,
48077,Clay County,-2.070969415724162,1996-01-31,
48081,Coke County,2.321015093749776,1996-01-31,
48083,Coleman County,-1.09145432484786,1996-01-31,
48085,Collin County,7.0415785252611665,1996-01-31,175029.6
48089,Colorado County,3.8263292427954005,1996-01-31,
48091,Comal County,6.338327154352305,1996-01-31,279280.0
48093,Comanche County,3.446149172045955,1996-01-31,
48095,Concho County,8.178360467444948,1996-01-31,
48097,Cooke County,5.641565699863645,1996-01-31,
48099,Coryell County,0.3993646994346191,1996-01-31,
48103,Crane County,1.2777074445119319,1996-01-31,
48105,Crockett County,5.9372957095650465,1996-01-31,
